subjectID;age;sex;parentality;babyID_ref;babyID_stim;stim;rank;delay_training_testing_h;nationality;real_baby_status;rated_baby_status;rated_baby_status_binom
Pdad04;32;male;parent;JOL;FAE;FAE_D1;28;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D2;29;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;GRG;GRG_D1;30;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D1;31;4.17;Poland;familiar;unknown;0
Pdad04;32;male;parent;JOL;DUH;DUH_D4;32;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D4;33;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D3;34;4.17;Poland;familiar;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D3;35;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D2;36;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D3;37;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D4;38;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D2;39;4.17;Poland;familiar;unknown;0
Pdad04;32;male;parent;JOL;GRG;GRG_D2;40;4.17;Poland;unknown;familiar;1
Pdad05;32;male;parent;BEV;JOL;JOL_D1;1;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;FAE;FAE_D4;2;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D2;3;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;FAE;FAE_D2;4;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D4;5;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D2;6;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D4;7;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D2;8;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;FAE;FAE_D3;9;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D3;10;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D4;11;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D1;12;3.5;Hungary;familiar;familiar;1
Pdad05;32;male;parent;BEV;RAR;RAR_D4;13;3.5;Hungary;unknown;familiar;1
Pdad05;32;male;parent;BEV;JOL;JOL_D2;14;3.5;Hungary;unknown;familiar;1
Pdad05;32;male;parent;BEV;FAE;FAE_D1;15;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D3;16;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D3;17;3.5;Hungary;unknown;familiar;1
Pdad05;32;male;parent;BEV;RAR;RAR_D3;18;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D1;19;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D1;20;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D3;21;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D4;22;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D2;23;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D4;24;3.5;Hungary;familiar;familiar;1
Pdad05;32;male;parent;BEV;BEV;BEV_D2;25;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D3;26;3.5;Hungary;unknown;unknown;0
